length_mm,width_mm,height_mm,torque_nm,battery_type,seats
3922,1808,1489,225.0,Lithium-ion,5
3922,1808,1489,215.0,Lithium-ion,5
3922,1808,1489,245.0,Lithium-ion,5
4486,1860,1838,245.0,Lithium-ion,5
4911,1860,1815,245.0,Lithium-ion,7
4200,1860,1505,250.0,Lithium-ion,5
4200,1860,1505,300.0,Lithium-ion,5
4470,1864,1571,280.0,Lithium-ion,5
4470,1864,1571,300.0,Lithium-ion,5
5453,2080,1559,900.0,Lithium-ion,4
4488,1884,1625,310.0,Lithium-ion,5
4488,1884,1625,310.0,Lithium-ion,5
4488,1884,1625,545.0,Lithium-ion,5
4488,1884,1608,679.0,Lithium-ion,5
4658,1879,1622,310.0,Lithium-ion,5
4658,1879,1622,545.0,Lithium-ion,5
4658,1879,1620,679.0,Lithium-ion,5
4658,1879,1623,310.0,Lithium-ion,5
4658,1879,1623,545.0,Lithium-ion,5
4658,1879,1621,679.0,Lithium-ion,5
4660,1879,1608,679.0,Lithium-ion,5
4660,1879,1607,679.0,Lithium-ion,5
4720,1908,1696,320.0,Lithium-ion,5
4720,1908,1696,320.0,Lithium-ion,5
4300,1822,1636,584.0,Lithium-ion,5
4270,1822,1636,343.0,Lithium-ion,5
4270,1822,1636,343.0,Lithium-ion,5
4270,1822,1636,343.0,Lithium-ion,5
4300,1822,1636,584.0,Lithium-ion,5
4270,1822,1636,343.0,Lithium-ion,5
4270,1822,1636,343.0,Lithium-ion,5
4400,1844,1556,543.0,Lithium-ion,5
4400,1844,1556,343.0,Lithium-ion,5
4400,1844,1556,343.0,Lithium-ion,5
4400,1844,1556,343.0,Lithium-ion,5
4695,1920,1705,710.0,Lithium-ion,5
4695,1920,1705,373.0,Lithium-ion,5
4695,1920,1705,373.0,Lithium-ion,5
4695,1920,1705,373.0,Lithium-ion,5
4695,1920,1705,643.0,Lithium-ion,5
4695,1920,1705,643.0,Lithium-ion,5
4690,1860,1650,336.0,Lithium-ion,5
4720,1849,1441,493.0,Lithium-ion,5
4720,1849,1441,450.0,Lithium-ion,5
4720,1849,1431,741.0,Lithium-ion,5
4720,1849,1441,420.0,Lithium-ion,5
5021,1987,1431,980.0,Lithium-ion,5
5021,1987,1431,1420.0,Lithium-ion,5
5057,1999,1680,800.0,Lithium-ion,7
5057,1999,1680,1020.0,Lithium-ion,7
4790,1982,1624,493.0,Lithium-ion,5
4790,1982,1624,450.0,Lithium-ion,5
4790,1982,1624,420.0,Lithium-ion,5
5333,1920,1890,260.0,Lithium-ion,9
4983,1920,1890,260.0,Lithium-ion,9
4983,1920,1890,260.0,Lithium-ion,9
4403,1921,1803,260.0,Lithium-ion,5
4753,1921,1814,260.0,Lithium-ion,7
4690,1860,1600,336.0,Lithium-ion,5
4690,1860,1600,265.0,Lithium-ion,5
4750,1934,1667,500.0,Lithium-ion,5
4750,1934,1667,620.0,Lithium-ion,5
4960,1985,1927,560.0,Lithium-ion,7
4962,1985,1924,560.0,Lithium-ion,7
4712,1985,1925,560.0,Lithium-ion,6
4712,1985,1927,560.0,Lithium-ion,6
4712,1985,1927,310.0,Lithium-ion,6
4322,1809,1538,545.0,Lithium-ion,5
4322,1809,1538,545.0,Lithium-ion,5
4264,1809,1564,310.0,Lithium-ion,5
4264,1809,1564,310.0,Lithium-ion,5
4264,1809,1564,310.0,Lithium-ion,5
4584,1852,1631,679.0,Lithium-ion,5
4584,1852,1631,545.0,Lithium-ion,5
4584,1852,1631,679.0,Lithium-ion,5
4584,1852,1640,310.0,Lithium-ion,5
4599,1852,1615,679.0,Lithium-ion,5
4599,1852,1615,545.0,Lithium-ion,5
4599,1852,1615,310.0,Lithium-ion,5
4961,1862,1536,560.0,Lithium-ion,5
4961,1862,1536,550.0,Lithium-ion,5
4961,1862,1536,550.0,Lithium-ion,5
4961,1862,1536,560.0,Lithium-ion,5
4961,1862,1536,550.0,Lithium-ion,5
4961,1862,1536,550.0,Lithium-ion,5
4440,1873,1596,420.0,Lithium-ion,5
4440,1873,1596,420.0,Lithium-ion,5
4440,1873,1596,670.0,Lithium-ion,5
4440,1873,1596,670.0,Lithium-ion,5
5000,1942,1546,480.0,Lithium-ion,5
5000,1942,1546,670.0,Lithium-ion,5
5000,1942,1546,870.0,Lithium-ion,5
4233,1837,1573,543.0,Lithium-ion,5
4233,1837,1549,343.0,Lithium-ion,5
4233,1837,1549,343.0,Lithium-ion,5
4233,1837,1549,543.0,Lithium-ion,5
4440,1863,1652,420.0,Lithium-ion,5
4440,1863,1652,420.0,Lithium-ion,5
4440,1863,1652,670.0,Lithium-ion,5
4440,1863,1652,670.0,Lithium-ion,5
5037,1964,1744,490.0,Lithium-ion,7
5037,1964,1744,770.0,Lithium-ion,7
5037,1964,1744,910.0,Lithium-ion,7
4905,1950,1645,720.0,Lithium-ion,5
4753,1920,1650,660.0,Lithium-ion,5
4753,1920,1650,440.0,Lithium-ion,5
4753,1920,1650,440.0,Lithium-ion,5
4891,1937,1670,717.0,Lithium-ion,5
4891,1937,1670,430.0,Lithium-ion,5
4891,1937,1680,430.0,Lithium-ion,5
4888,1896,1450,757.0,Lithium-ion,5
4888,1896,1450,440.0,Lithium-ion,5
4888,1896,1450,757.0,Lithium-ion,5
4955,1999,1560,343.0,Lithium-ion,5
4955,1999,1560,686.0,Lithium-ion,5
4955,1999,1548,686.0,Lithium-ion,5
4787,1930,1650,440.0,Lithium-ion,5
4787,1930,1650,710.0,Lithium-ion,5
4787,1930,1650,440.0,Lithium-ion,5
4432,1836,1566,343.0,Lithium-ion,5
4432,1836,1566,343.0,Lithium-ion,5
4432,1836,1566,543.0,Lithium-ion,5
4003,1885,1557,200.0,Lithium-ion,5
